,ndays,dte,sort,sym,cls,vol,score_vol_sma20,bb_bbhi,bb_bbli,macd,obv,rsi14,cci20,score_ovlp_ema
2674,4.0,2021-02-04,25,MA,340.8,4537500.0,0.89,0.0,0.0,0.88,7446700.0,55.0,50.0,-75.0
2673,5.0,2021-02-03,25,MA,332.8,4036800.0,0.79,0.0,0.0,-0.13,2909200.0,50.0,-3.0,-100.0
2672,6.0,2021-02-02,25,MA,334.4,5686000.0,1.13,0.0,0.0,-0.85,6946000.0,51.0,-22.0,-100.0
2671,7.0,2021-02-01,25,MA,321.6,4930700.0,0.99,0.0,0.0,-2.05,1260000.0,42.0,-92.0,-100.0
2670,8.0,2021-01-29,25,MA,316.3,7625400.0,1.56,0.0,0.0,-2.43,-3670700.0,38.0,-115.0,-100.0
2669,9.0,2021-01-28,25,MA,324.3,6906400.0,1.46,0.0,0.0,-2.27,3954700.0,43.0,-85.0,-100.0
2668,10.0,2021-01-27,25,MA,315.5,7449400.0,1.65,0.0,1.0,-2.6,-2951700.0,35.0,-145.0,-100.0
2780,1.0,2021-02-09,26,JPM,139.9,3258223.0,0.23,0.0,0.0,0.33,-17194123.0,66.0,74.0,22.0
2779,2.0,2021-02-08,26,JPM,140.1,10131800.0,0.69,0.0,0.0,0.19,-13935900.0,66.0,81.0,21.0
2778,3.0,2021-02-05,26,JPM,138.0,10045100.0,0.68,0.0,0.0,-0.1,-24067700.0,63.0,65.0,21.0
2777,4.0,2021-02-04,26,JPM,138.2,12419500.0,0.8,0.0,0.0,-0.36,-14022600.0,64.0,51.0,21.0
2776,5.0,2021-02-03,26,JPM,135.1,10600800.0,0.66,0.0,0.0,-0.8,-26442100.0,59.0,3.0,24.0
2775,6.0,2021-02-02,26,JPM,133.6,12253600.0,0.75,0.0,0.0,-1.16,-37042900.0,56.0,-19.0,16.0
2774,7.0,2021-02-01,26,JPM,129.6,11080700.0,0.67,0.0,0.0,-1.51,-49296500.0,48.0,-72.0,-4.0
2773,8.0,2021-01-29,26,JPM,128.7,14803100.0,0.91,0.0,0.0,-1.58,-60377200.0,46.0,-65.0,-5.0
2772,9.0,2021-01-28,26,JPM,130.1,13761800.0,0.86,0.0,0.0,-1.5,-45574100.0,49.0,-45.0,3.0
2771,10.0,2021-01-27,26,JPM,127.9,17603900.0,1.12,0.0,0.0,-1.45,-59335900.0,44.0,-68.0,3.0
2883,1.0,2021-02-09,27,UNH,328.6,1651624.0,0.49,0.0,0.0,-2.13,-12236576.0,39.0,-114.0,-100.0
2882,2.0,2021-02-08,27,UNH,324.3,4757600.0,1.38,0.0,0.0,-2.52,-13888200.0,33.0,-136.0,-100.0
2881,3.0,2021-02-05,27,UNH,324.5,7226800.0,2.15,0.0,0.0,-2.46,-9130600.0,33.0,-140.0,-100.0
2880,4.0,2021-02-04,27,UNH,329.3,5962200.0,1.88,0.0,0.0,-2.15,-1903800.0,37.0,-131.0,-100.0
2879,5.0,2021-02-03,27,UNH,337.9,2537100.0,0.79,0.0,0.0,-1.93,4058400.0,43.0,-97.0,-100.0
2878,6.0,2021-02-02,27,UNH,338.7,2663700.0,0.83,0.0,0.0,-2.29,6595500.0,44.0,-85.0,-100.0
2877,7.0,2021-02-01,27,UNH,334.0,3020200.0,0.91,0.0,0.0,-2.75,3931800.0,38.0,-146.0,-100.0
2876,8.0,2021-01-29,27,UNH,333.6,3899200.0,1.2,0.0,0.0,-2.77,911600.0,38.0,-176.0,-100.0
2875,9.0,2021-01-28,27,UNH,338.1,2769900.0,0.88,0.0,0.0,-2.54,4810800.0,41.0,-135.0,-100.0
2874,10.0,2021-01-27,27,UNH,333.0,4770900.0,1.53,0.0,1.0,-2.46,2040900.0,35.0,-233.0,-92.0
2986,1.0,2021-02-09,28,HD,277.9,932688.0,0.26,0.0,0.0,0.11,6623412.0,54.0,40.0,37.0
2985,2.0,2021-02-08,28,HD,280.0,3475600.0,0.92,0.0,0.0,0.14,7556100.0,57.0,59.0,32.0
2984,3.0,2021-02-05,28,HD,278.9,2388500.0,0.63,0.0,0.0,-0.06,4080500.0,56.0,73.0,36.0
2983,4.0,2021-02-04,28,HD,278.8,2976000.0,0.77,0.0,0.0,-0.28,1692000.0,56.0,46.0,46.0
2982,5.0,2021-02-03,28,HD,274.2,2802700.0,0.72,0.0,0.0,-0.62,-1284000.0,51.0,-15.0,-10.0
2981,6.0,2021-02-02,28,HD,272.2,4111800.0,1.04,0.0,0.0,-0.66,-4086700.0,48.0,-21.0,-45.0
2980,7.0,2021-02-01,28,HD,270.1,3707800.0,0.93,0.0,0.0,-0.5,-8198500.0,46.0,-50.0,-38.0
2979,8.0,2021-01-29,28,HD,270.8,4078100.0,1.03,0.0,0.0,-0.01,-4490700.0,47.0,-9.0,29.0
2978,9.0,2021-01-28,28,HD,278.0,3463000.0,0.9,0.0,0.0,0.67,-412600.0,55.0,70.0,43.0
2977,10.0,2021-01-27,28,HD,274.0,4337000.0,1.14,0.0,0.0,0.93,-3875600.0,50.0,44.0,40.0
3089,1.0,2021-02-09,29,VZ,54.8,6083056.0,0.31,0.0,0.0,-0.01,-200200456.0,35.0,-77.0,-100.0
3088,2.0,2021-02-08,29,VZ,55.0,17883300.0,0.89,0.0,0.0,-0.03,-194117400.0,36.0,-71.0,-100.0
3087,3.0,2021-02-05,29,VZ,55.3,12064900.0,0.58,0.0,0.0,-0.07,-176234100.0,38.0,-62.0,-100.0
3086,4.0,2021-02-04,29,VZ,55.1,14761700.0,0.7,0.0,0.0,-0.14,-188299000.0,36.0,-93.0,-100.0
3085,5.0,2021-02-03,29,VZ,54.8,13909300.0,0.65,0.0,0.0,-0.21,-203060700.0,33.0,-133.0,-100.0
3084,6.0,2021-02-02,29,VZ,54.5,18974500.0,0.88,0.0,0.0,-0.25,-216970000.0,30.0,-161.0,-100.0
3083,7.0,2021-02-01,29,VZ,54.3,20541100.0,0.95,0.0,1.0,-0.26,-235944500.0,27.0,-197.0,-100.0
3082,8.0,2021-01-29,29,VZ,54.8,26228500.0,1.24,0.0,1.0,-0.21,-215403400.0,29.0,-206.0,-100.0
3081,9.0,2021-01-28,29,VZ,55.4,24000800.0,1.15,0.0,1.0,-0.15,-189174900.0,32.0,-173.0,-100.0
3080,10.0,2021-01-27,29,VZ,55.1,37239000.0,1.82,0.0,1.0,-0.1,-213175700.0,30.0,-179.0,-100.0
3192,1.0,2021-02-09,30,PYPL,280.8,4036989.0,0.45,1.0,0.0,3.65,169169211.0,72.0,202.0,23.0
3191,2.0,2021-02-08,30,PYPL,282.2,10065500.0,1.12,1.0,0.0,3.24,173206200.0,73.0,257.0,21.0
3190,3.0,2021-02-05,30,PYPL,269.4,7967200.0,0.9,1.0,0.0,2.08,163140700.0,68.0,228.0,21.0
3189,4.0,2021-02-04,30,PYPL,270.4,23840900.0,2.71,1.0,0.0,1.28,171107900.0,69.0,286.0,20.0
3188,5.0,2021-02-03,30,PYPL,251.9,13545700.0,1.68,0.0,0.0,-0.28,147267000.0,60.0,123.0,23.0
3187,6.0,2021-02-02,30,PYPL,249.1,7082800.0,0.93,0.0,0.0,-0.93,133721300.0,59.0,80.0,25.0
3186,7.0,2021-02-01,30,PYPL,241.9,7788200.0,1.01,0.0,0.0,-1.65,126638500.0,54.0,9.0,23.0
3185,8.0,2021-01-29,30,PYPL,234.3,9805800.0,1.3,0.0,0.0,-2.01,118850300.0,49.0,-41.0,5.0
3184,9.0,2021-01-28,30,PYPL,237.8,8295500.0,1.13,0.0,0.0,-1.71,128656100.0,51.0,-23.0,15.0
3183,10.0,2021-01-27,30,PYPL,229.9,11787000.0,1.6,0.0,0.0,-1.53,120360600.0,45.0,-97.0,13.0
3295,1.0,2021-02-09,31,ADBE,495.5,521677.0,0.19,0.0,0.0,3.67,25661977.0,60.0,158.0,10.0
3294,2.0,2021-02-08,31,ADBE,493.8,1727000.0,0.62,0.0,0.0,3.52,25140300.0,59.0,177.0,-1.0
3293,3.0,2021-02-05,31,ADBE,492.1,1675000.0,0.6,0.0,0.0,3.2,23413300.0,59.0,180.0,-16.0
3292,4.0,2021-02-04,31,ADBE,489.4,2005100.0,0.7,0.0,0.0,2.61,21738300.0,57.0,164.0,-38.0
3291,5.0,2021-02-03,31,ADBE,481.9,2146900.0,0.72,0.0,0.0,1.78,19733200.0,54.0,151.0,-89.0
3290,6.0,2021-02-02,31,ADBE,484.9,3022000.0,1.02,0.0,0.0,1.13,21880100.0,56.0,131.0,-100.0
3289,7.0,2021-02-01,31,ADBE,470.0,2554800.0,0.85,0.0,0.0,-0.25,18858100.0,48.0,-29.0,-100.0
3288,8.0,2021-01-29,31,ADBE,458.8,3060400.0,1.04,0.0,0.0,-0.84,16303300.0,40.0,-117.0,-100.0
3287,9.0,2021-01-28,31,ADBE,465.7,3000700.0,1.05,0.0,0.0,-0.51,19363700.0,44.0,-62.0,-100.0
3286,10.0,2021-01-27,31,ADBE,460.0,3586400.0,1.29,0.0,0.0,-0.57,16363000.0,40.0,-90.0,-100.0
3398,1.0,2021-02-09,32,DIS,187.9,6023736.0,0.61,1.0,0.0,1.48,129005264.0,66.0,197.0,18.0
3397,2.0,2021-02-08,32,DIS,190.0,16046200.0,1.63,1.0,0.0,1.24,135029000.0,70.0,229.0,17.0
3396,3.0,2021-02-05,32,DIS,181.2,6597700.0,0.7,0.0,0.0,0.5,118982800.0,62.0,135.0,17.0
3395,4.0,2021-02-04,32,DIS,180.2,9035400.0,0.95,0.0,0.0,0.15,112385100.0,61.0,111.0,16.0
3394,5.0,2021-02-03,32,DIS,176.4,5508600.0,0.59,0.0,0.0,-0.34,103349700.0,57.0,62.0,16.0
3393,6.0,2021-02-02,32,DIS,177.0,12215200.0,1.28,0.0,0.0,-0.72,108858300.0,58.0,52.0,13.0
3392,7.0,2021-02-01,32,DIS,171.0,8140400.0,0.85,0.0,0.0,-1.35,96643100.0,51.0,-69.0,-1.0
3391,8.0,2021-01-29,32,DIS,168.2,12840900.0,1.35,0.0,0.0,-1.65,88502700.0,47.0,-119.0,-11.0
3390,9.0,2021-01-28,32,DIS,171.9,14449100.0,1.53,0.0,0.0,-1.74,101343600.0,52.0,-91.0,-5.0
3389,10.0,2021-01-27,32,DIS,163.0,18239200.0,2.01,0.0,1.0,-2.16,86894500.0,37.0,-237.0,-27.0
3501,1.0,2021-02-09,33,CRM,237.7,2016050.0,0.3,0.0,0.0,1.93,-4002550.0,65.0,124.0,2.0
3500,2.0,2021-02-08,33,CRM,238.9,4333200.0,0.61,0.0,0.0,2.19,-1986500.0,68.0,149.0,-5.0
3499,3.0,2021-02-05,33,CRM,238.9,5015400.0,0.7,0.0,0.0,2.27,-6319700.0,68.0,162.0,-15.0
3498,4.0,2021-02-04,33,CRM,238.0,4770700.0,0.65,1.0,0.0,2.2,-11335100.0,67.0,174.0,-30.0
3497,5.0,2021-02-03,33,CRM,234.8,5357600.0,0.7,1.0,0.0,2.0,-16105800.0,64.0,164.0,-55.0
3496,6.0,2021-02-02,33,CRM,234.2,7134900.0,0.91,1.0,0.0,1.85,-21463400.0,63.0,186.0,-87.0
3495,7.0,2021-02-01,33,CRM,228.5,5696700.0,0.72,0.0,0.0,1.52,-28598300.0,57.0,116.0,-100.0
3494,8.0,2021-01-29,33,CRM,225.6,6458200.0,0.81,0.0,0.0,1.48,-34295000.0,53.0,95.0,-100.0
3493,9.0,2021-01-28,33,CRM,226.5,7246000.0,0.92,0.0,0.0,1.61,-27836800.0,54.0,128.0,-100.0
3492,10.0,2021-01-27,33,CRM,224.8,7641100.0,0.98,0.0,0.0,1.61,-35082800.0,52.0,90.0,-100.0
3604,1.0,2021-02-09,34,NFLX,555.3,2008424.0,0.29,0.0,0.0,0.22,39393524.0,57.0,48.0,30.0
3603,2.0,2021-02-08,34,NFLX,547.9,2789800.0,0.4,0.0,0.0,-0.07,37385100.0,55.0,35.0,32.0
3602,3.0,2021-02-05,34,NFLX,550.8,2374300.0,0.34,0.0,0.0,0.12,40174900.0,56.0,43.0,31.0
3601,4.0,2021-02-04,34,NFLX,552.2,5164500.0,0.72,0.0,0.0,0.0,42549200.0,56.0,46.0,31.0
3600,5.0,2021-02-03,34,NFLX,539.5,3172300.0,0.44,0.0,0.0,-0.45,37384700.0,53.0,32.0,36.0
3599,6.0,2021-02-02,34,NFLX,548.2,3767600.0,0.53,0.0,0.0,0.04,40557000.0,55.0,48.0,34.0
3598,7.0,2021-02-01,34,NFLX,539.0,3547500.0,0.49,0.0,0.0,-0.18,36789400.0,53.0,28.0,36.0
3597,8.0,2021-01-29,34,NFLX,532.4,4321500.0,0.59,0.0,0.0,0.29,33241900.0,51.0,17.0,36.0
3596,9.0,2021-01-28,34,NFLX,538.6,5969000.0,0.84,0.0,0.0,1.57,37563400.0,53.0,36.0,34.0
3595,10.0,2021-01-27,34,NFLX,523.3,8670300.0,1.23,0.0,0.0,2.72,31594400.0,49.0,13.0,32.0
3707,1.0,2021-02-09,35,KO,49.8,5285313.0,0.29,0.0,0.0,0.26,37726987.0,50.0,108.0,-100.0
3706,2.0,2021-02-08,35,KO,49.9,17826600.0,0.94,0.0,0.0,0.24,43012300.0,50.0,102.0,-100.0
3705,3.0,2021-02-05,35,KO,49.7,12602400.0,0.65,0.0,0.0,0.18,25185700.0,48.0,51.0,-100.0
3704,4.0,2021-02-04,35,KO,49.0,20597400.0,0.96,0.0,0.0,0.11,12583300.0,43.0,-30.0,-100.0
3703,5.0,2021-02-03,35,KO,48.8,12274100.0,0.55,0.0,0.0,0.07,-8014100.0,41.0,-42.0,-100.0
3702,6.0,2021-02-02,35,KO,49.0,13319800.0,0.58,0.0,0.0,0.04,4260000.0,42.0,-36.0,-100.0
3701,7.0,2021-02-01,35,KO,48.5,12183600.0,0.52,0.0,0.0,-0.02,-9059800.0,39.0,-77.0,-100.0
3700,8.0,2021-01-29,35,KO,48.2,18659300.0,0.8,0.0,0.0,-0.05,-21243400.0,36.0,-79.0,-100.0
3699,9.0,2021-01-28,35,KO,49.2,17498900.0,0.77,0.0,0.0,-0.04,-2584100.0,41.0,-53.0,-100.0
3698,10.0,2021-01-27,35,KO,48.5,21242400.0,0.95,0.0,0.0,-0.11,-20083000.0,36.0,-72.0,-100.0
3810,1.0,2021-02-09,36,BAC,32.9,15780882.0,0.31,0.0,0.0,0.1,295118618.0,61.0,56.0,19.0
3809,2.0,2021-02-08,36,BAC,33.1,45986200.0,0.88,0.0,0.0,0.06,310899500.0,63.0,63.0,18.0
3808,3.0,2021-02-05,36,BAC,32.4,41978500.0,0.81,0.0,0.0,-0.03,264913300.0,59.0,41.0,17.0
3807,4.0,2021-02-04,36,BAC,32.5,51751900.0,0.96,0.0,0.0,-0.12,306891800.0,60.0,22.0,16.0
3806,5.0,2021-02-03,36,BAC,31.6,49404900.0,0.87,0.0,0.0,-0.26,255139900.0,55.0,-30.0,3.0
3805,6.0,2021-02-02,36,BAC,31.0,53527000.0,0.95,0.0,0.0,-0.37,205735000.0,51.0,-52.0,-20.0
3804,7.0,2021-02-01,36,BAC,30.0,40985300.0,0.73,0.0,0.0,-0.47,152208000.0,43.0,-107.0,-53.0
3803,8.0,2021-01-29,36,BAC,29.6,63994800.0,1.15,0.0,0.0,-0.48,111222700.0,40.0,-106.0,-49.0
3802,9.0,2021-01-28,36,BAC,30.3,51223300.0,0.95,0.0,0.0,-0.45,175217500.0,44.0,-84.0,-26.0
3801,10.0,2021-01-27,36,BAC,29.8,63809200.0,1.21,0.0,0.0,-0.43,123994200.0,40.0,-102.0,-20.0
3913,1.0,2021-02-09,37,PFE,34.8,14483424.0,0.38,0.0,0.0,-0.12,-205002929.0,32.0,-111.0,-100.0
3912,2.0,2021-02-08,37,PFE,34.8,31561700.0,0.8,0.0,0.0,-0.15,-219486353.0,31.0,-127.0,-100.0
3911,3.0,2021-02-05,37,PFE,34.9,31645100.0,0.8,0.0,0.0,-0.16,-187924653.0,32.0,-143.0,-100.0
3910,4.0,2021-02-04,37,PFE,34.9,34284900.0,0.87,0.0,0.0,-0.17,-219569753.0,31.0,-177.0,-100.0
3909,5.0,2021-02-03,37,PFE,34.8,38524200.0,0.98,0.0,1.0,-0.17,-253854653.0,31.0,-209.0,-100.0
3908,6.0,2021-02-02,37,PFE,35.0,84062400.0,2.16,0.0,1.0,-0.13,-215330453.0,32.0,-253.0,-100.0
3907,7.0,2021-02-01,37,PFE,35.8,40395800.0,1.11,0.0,0.0,-0.08,-131268053.0,38.0,-164.0,-100.0
3906,8.0,2021-01-29,37,PFE,35.9,60026600.0,1.67,0.0,0.0,-0.06,-90872253.0,38.0,-143.0,-100.0
3905,9.0,2021-01-28,37,PFE,35.9,39466700.0,1.15,0.0,1.0,-0.04,-150898853.0,38.0,-196.0,-100.0
3904,10.0,2021-01-27,37,PFE,36.2,50561200.0,1.51,0.0,0.0,0.01,-111432153.0,41.0,-111.0,-100.0
4016,1.0,2021-02-09,38,NKE,142.5,1091058.0,0.21,0.0,0.0,0.64,19223942.0,55.0,70.0,9.0
4015,2.0,2021-02-08,38,NKE,143.4,6303700.0,1.18,0.0,0.0,0.62,20315000.0,57.0,84.0,6.0
4014,3.0,2021-02-05,38,NKE,145.1,6150100.0,1.18,0.0,0.0,0.44,26618700.0,61.0,79.0,1.0
4013,4.0,2021-02-04,38,NKE,140.6,4533700.0,0.88,0.0,0.0,-0.06,20468600.0,54.0,6.0,-31.0
4012,5.0,2021-02-03,38,NKE,138.6,4678600.0,0.89,0.0,0.0,-0.37,15934900.0,50.0,-21.0,-72.0
4011,6.0,2021-02-02,38,NKE,139.6,7132800.0,1.36,0.0,0.0,-0.64,20613500.0,52.0,-26.0,-100.0
4010,7.0,2021-02-01,38,NKE,135.7,4366800.0,0.84,0.0,0.0,-1.09,13480700.0,44.0,-100.0,-100.0
4009,8.0,2021-01-29,38,NKE,133.6,7165700.0,1.4,0.0,0.0,-1.33,9113900.0,39.0,-147.0,-100.0
4008,9.0,2021-01-28,38,NKE,134.7,6244600.0,1.27,0.0,0.0,-1.38,16279600.0,41.0,-161.0,-100.0
4007,10.0,2021-01-27,38,NKE,131.0,7815900.0,1.64,0.0,1.0,-1.47,10035000.0,32.0,-276.0,-100.0
4119,1.0,2021-02-09,39,CMCSA,52.4,5411124.0,0.29,0.0,0.0,0.29,185199124.0,59.0,146.0,15.0
4118,2.0,2021-02-08,39,CMCSA,51.8,14766100.0,0.75,0.0,0.0,0.25,179788000.0,57.0,124.0,13.0
4117,3.0,2021-02-05,39,CMCSA,51.1,14202100.0,0.71,0.0,0.0,0.21,165021900.0,54.0,108.0,10.0
4116,4.0,2021-02-04,39,CMCSA,51.5,18708100.0,0.92,0.0,0.0,0.21,179224000.0,56.0,91.0,7.0
4115,5.0,2021-02-03,39,CMCSA,50.5,17253300.0,0.84,0.0,0.0,0.15,160515900.0,52.0,79.0,2.0
4114,6.0,2021-02-02,39,CMCSA,51.2,17361400.0,0.85,0.0,0.0,0.15,177769200.0,55.0,97.0,-1.0
4113,7.0,2021-02-01,39,CMCSA,50.2,16865700.0,0.81,0.0,0.0,0.06,160407800.0,51.0,3.0,-22.0
4112,8.0,2021-01-29,39,CMCSA,49.6,27479500.0,1.34,0.0,0.0,0.03,143542100.0,49.0,12.0,-37.0
4111,9.0,2021-01-28,39,CMCSA,51.6,29163100.0,1.49,0.0,0.0,0.03,171021600.0,58.0,89.0,-22.0
4110,10.0,2021-01-27,39,CMCSA,48.4,24670000.0,1.32,0.0,0.0,-0.16,141858500.0,41.0,-74.0,-100.0
4222,1.0,2021-02-09,40,MRK,74.8,7027989.0,0.66,0.0,0.0,-0.53,-122636189.0,29.0,-120.0,-100.0
4221,2.0,2021-02-08,40,MRK,75.0,15944400.0,1.46,0.0,0.0,-0.55,-115608200.0,30.0,-121.0,-100.0
4220,3.0,2021-02-05,40,MRK,75.8,13262200.0,1.26,0.0,0.0,-0.55,-99663800.0,32.0,-118.0,-100.0
4219,4.0,2021-02-04,40,MRK,76.0,18003400.0,1.73,0.0,0.0,-0.56,-86401600.0,33.0,-133.0,-100.0
4218,5.0,2021-02-03,40,MRK,77.3,9575200.0,0.96,0.0,0.0,-0.54,-68398200.0,37.0,-113.0,-100.0
4217,6.0,2021-02-02,40,MRK,77.8,9414800.0,0.94,0.0,0.0,-0.59,-58823000.0,38.0,-109.0,-100.0
4216,7.0,2021-02-01,40,MRK,77.4,7847900.0,0.78,0.0,0.0,-0.66,-68237800.0,36.0,-142.0,-100.0
4215,8.0,2021-01-29,40,MRK,77.1,10173300.0,1.02,0.0,1.0,-0.68,-76085700.0,34.0,-186.0,-100.0
4214,9.0,2021-01-28,40,MRK,77.9,12377900.0,1.27,0.0,1.0,-0.61,-65912400.0,37.0,-193.0,-100.0
4213,10.0,2021-01-27,40,MRK,77.1,15487000.0,1.65,0.0,1.0,-0.54,-78290300.0,32.0,-221.0,-100.0
4325,1.0,2021-02-09,41,INTC,59.2,10216031.0,0.22,0.0,0.0,0.01,445909231.0,61.0,71.0,32.0
4324,2.0,2021-02-08,41,INTC,59.2,34342100.0,0.72,0.0,0.0,-0.01,435693200.0,61.0,66.0,32.0
4323,3.0,2021-02-05,41,INTC,58.2,23422400.0,0.49,0.0,0.0,-0.06,401351100.0,59.0,60.0,33.0
4322,4.0,2021-02-04,41,INTC,58.8,29853800.0,0.62,0.0,0.0,-0.06,424773500.0,61.0,60.0,32.0
4321,5.0,2021-02-03,41,INTC,57.7,21893200.0,0.45,0.0,0.0,-0.14,394919700.0,59.0,52.0,34.0
4320,6.0,2021-02-02,41,INTC,58.0,23580900.0,0.49,0.0,0.0,-0.18,416812900.0,60.0,55.0,35.0
4319,7.0,2021-02-01,41,INTC,56.7,26926600.0,0.54,0.0,0.0,-0.28,393232000.0,57.0,33.0,41.0
4318,8.0,2021-01-29,41,INTC,55.5,37238000.0,0.75,0.0,0.0,-0.32,366305400.0,54.0,25.0,42.0
4317,9.0,2021-01-28,41,INTC,56.1,49202600.0,0.99,0.0,0.0,-0.26,403543400.0,56.0,32.0,42.0
4316,10.0,2021-01-27,41,INTC,53.6,49722900.0,0.97,0.0,0.0,-0.22,354340800.0,50.0,-5.0,35.0
4428,1.0,2021-02-09,42,ABT,124.3,1094293.0,0.19,0.0,0.0,0.67,34200907.0,72.0,103.0,31.0
4427,2.0,2021-02-08,42,ABT,124.5,3456000.0,0.59,0.0,0.0,0.72,35295200.0,73.0,123.0,30.0
4426,3.0,2021-02-05,42,ABT,124.0,5803400.0,0.98,0.0,0.0,0.7,31839200.0,72.0,116.0,30.0
4425,4.0,2021-02-04,42,ABT,119.7,4377900.0,0.74,0.0,0.0,0.6,26035800.0,65.0,85.0,33.0
4424,5.0,2021-02-03,42,ABT,120.2,4991900.0,0.84,0.0,0.0,0.81,30413700.0,67.0,101.0,31.0
4423,6.0,2021-02-02,42,ABT,120.2,7277000.0,1.23,0.0,0.0,0.98,35405600.0,67.0,143.0,28.0
4422,7.0,2021-02-01,42,ABT,122.5,8337100.0,1.42,1.0,0.0,1.15,42682600.0,76.0,214.0,24.0
4421,8.0,2021-01-29,42,ABT,123.6,10995100.0,1.96,1.0,0.0,1.05,51019700.0,80.0,267.0,22.0
4420,9.0,2021-01-28,42,ABT,120.4,11296300.0,2.19,1.0,0.0,0.69,40024600.0,76.0,288.0,24.0
4419,10.0,2021-01-27,42,ABT,114.3,9104900.0,1.92,0.0,0.0,0.35,28728300.0,64.0,167.0,29.0
4531,1.0,2021-02-09,43,TMO,494.2,423152.0,0.25,0.0,0.0,-3.0,25011848.0,49.0,-78.0,-3.0
4530,2.0,2021-02-08,43,TMO,495.8,1418800.0,0.8,0.0,0.0,-2.96,25435000.0,50.0,-74.0,2.0
4529,3.0,2021-02-05,43,TMO,492.6,1678600.0,0.93,0.0,0.0,-2.92,24016200.0,48.0,-131.0,0.0
4528,4.0,2021-02-04,43,TMO,489.0,2921900.0,1.59,0.0,0.0,-2.38,22337600.0,47.0,-123.0,14.0
4527,5.0,2021-02-03,43,TMO,500.2,1704900.0,0.95,0.0,0.0,-1.08,25259500.0,51.0,-1.0,36.0
4526,6.0,2021-02-02,43,TMO,518.5,1502000.0,0.83,0.0,0.0,-0.18,26964400.0,61.0,110.0,30.0
4525,7.0,2021-02-01,43,TMO,515.5,2083100.0,1.13,0.0,0.0,-0.74,25462400.0,59.0,97.0,33.0
4524,8.0,2021-01-29,43,TMO,509.7,2586000.0,1.44,0.0,0.0,-1.38,23379300.0,57.0,26.0,38.0
4523,9.0,2021-01-28,43,TMO,496.5,1619700.0,0.95,0.0,0.0,-1.83,20793300.0,52.0,-6.0,26.0
4522,10.0,2021-01-27,43,TMO,482.5,2504600.0,1.51,0.0,0.0,-1.2,19173600.0,45.0,-34.0,27.0
4634,1.0,2021-02-09,44,PEP,140.3,1419337.0,0.31,0.0,0.0,0.29,12702763.0,48.0,18.0,-100.0
4633,2.0,2021-02-08,44,PEP,140.4,4111600.0,0.88,0.0,0.0,0.23,14122100.0,49.0,25.0,-100.0
4632,3.0,2021-02-05,44,PEP,141.0,4437400.0,0.95,0.0,0.0,0.13,18233700.0,50.0,32.0,-100.0
4631,4.0,2021-02-04,44,PEP,139.7,3860300.0,0.83,0.0,0.0,-0.09,13796300.0,47.0,-47.0,-100.0
4630,5.0,2021-02-03,44,PEP,138.0,3609600.0,0.77,0.0,0.0,-0.27,9936000.0,41.0,-93.0,-100.0
4629,6.0,2021-02-02,44,PEP,138.4,3581600.0,0.76,0.0,0.0,-0.35,13545600.0,42.0,-99.0,-100.0
4628,7.0,2021-02-01,44,PEP,137.0,4185700.0,0.85,0.0,0.0,-0.47,9964000.0,37.0,-160.0,-100.0
4627,8.0,2021-01-29,44,PEP,136.6,6777500.0,1.4,0.0,0.0,-0.46,5778300.0,36.0,-171.0,-100.0
4626,9.0,2021-01-28,44,PEP,139.2,5514000.0,1.2,0.0,0.0,-0.34,12555800.0,41.0,-104.0,-100.0
4625,10.0,2021-01-27,44,PEP,138.0,6659800.0,1.48,0.0,0.0,-0.38,7041800.0,37.0,-106.0,-100.0
4737,1.0,2021-02-09,45,MCD,213.7,930261.0,0.29,0.0,0.0,0.4,-6310839.0,55.0,75.0,-100.0
4736,2.0,2021-02-08,45,MCD,211.6,2696200.0,0.82,0.0,0.0,0.22,-7241100.0,51.0,18.0,-100.0
4735,3.0,2021-02-05,45,MCD,212.6,2599800.0,0.8,0.0,0.0,0.14,-4544900.0,53.0,55.0,-100.0
4734,4.0,2021-02-04,45,MCD,211.0,2777500.0,0.84,0.0,0.0,-0.1,-7144700.0,50.0,-15.0,-100.0
4733,5.0,2021-02-03,45,MCD,208.7,3020700.0,0.91,0.0,0.0,-0.29,-9922200.0,45.0,-68.0,-100.0
4732,6.0,2021-02-02,45,MCD,209.8,2786000.0,0.85,0.0,0.0,-0.33,-6901500.0,47.0,-38.0,-100.0
4731,7.0,2021-02-01,45,MCD,207.9,2812500.0,0.84,0.0,0.0,-0.45,-9687500.0,43.0,-106.0,-100.0
4730,8.0,2021-01-29,45,MCD,207.8,5202500.0,1.56,0.0,0.0,-0.42,-12500000.0,42.0,-164.0,-100.0
4729,9.0,2021-01-28,45,MCD,206.8,5401600.0,1.7,0.0,0.0,-0.32,-17702500.0,40.0,-174.0,-100.0
4728,10.0,2021-01-27,45,MCD,207.0,5464000.0,1.83,0.0,1.0,-0.03,-12300900.0,40.0,-138.0,-100.0
4840,1.0,2021-02-09,46,DHR,237.8,677781.0,0.26,0.0,0.0,-0.29,15350081.0,54.0,4.0,32.0
4839,2.0,2021-02-08,46,DHR,235.6,1549300.0,0.58,0.0,0.0,-0.35,14672300.0,51.0,-17.0,33.0
4838,3.0,2021-02-05,46,DHR,235.6,1470900.0,0.54,0.0,0.0,-0.24,13123000.0,51.0,-23.0,33.0
